Oplot,Pplot,Pweed,Pinsect,Oweed,Oinsect,Family,weight,Dam,Leaves,%Dam,flower,pods,survive,fecundity,,Plot,#surv,insect,weed,#start,%survival
12,22,1,1,1,1,2,2.9078,,,,,,0,,,,,,,,
12,24,1,1,1,1,5,3.2155,,,,,,0,,,,,,,,
14,7,0,0,1,0,12,3.1771,,,,,,0,,,,,,,,
14,11,0,1,1,0,10,4.3389,,,,,,0,,,,,,,,
14,14,1,0,1,0,11,3.6082,,,,,,0,,,,,,,,
14,18,0,1,1,0,21,4.1046,,,,,,0,,,,,,,,
14,18,0,1,1,0,19,3.3849,,,,,,0,,,,,,,,
14,19,0,1,1,0,10,3.9077,,,,,,0,,,,,,,,
14,20,0,0,1,0,15,3.7939,,,,,,0,,,,,,,,
14,23,1,1,1,0,19,3.1404,,,,,,0,,,,,,,,
18,2,1,0,0,0,11,3.1674,,,,,,0,,,,,,,,
18,6,0,0,0,0,6,2.6408,,,,,,0,,,,,,,,
18,6,0,0,0,0,23,3.4963,,,,,,0,,,,,,,,
18,7,0,0,0,0,15,2.2961,,,,,,0,,,,,,,,
18,8,1,0,0,0,23,3.7051,9,17,0.132,4,7,1,11,,,,,,,
18,10,1,0,0,0,30,1.6896,0,6,0,0,1,1,1,,,,,,,
18,10,1,0,0,0,30,3.8456,,,,,,0,,,,,,,,
18,11,0,1,0,0,6,3.466,2,4,,,,0,,,,,,,,
18,12,0,1,0,0,9,3.7069,3,11,0.068,2,3,1,5,,,,,,,
18,12,0,1,0,0,21,2.2203,,,,,,0,,,,,,,,
18,13,1,1,0,0,24,4.682,,,,,,0,,,,,,,,
18,13,1,1,0,0,24,3.8031,,,,,,0,,,,,,,,
18,14,1,0,0,0,23,3.9149,1,21,0.012,5,1,1,6,,,,,,,
18,14,1,0,0,0,3,4.7504,,,,,,0,,,,,,,,
18,18,0,1,0,0,9,3.4253,1,9,0.028,1,0,1,1,,,,,,,
18,18,0,1,0,0,16,2.0991,,,,,,0,,,,,,,,
18,18,0,1,0,0,21,3.0883,,,,,,0,,,,,,,,
18,19,0,1,0,0,12,5.4251,,,,,,0,,,,,,,,
18,21,1,0,0,0,3,3.7338,,,,,,0,,,,,,,,
18,23,1,1,0,0,14,3.3867,,,,,,0,,,,,,,,
18,24,1,1,0,0,8,4.3621,,,,,,0,,,,,,,,
19,2,1,0,0,1,2,3.7448,,,,,,0,,,,,,,,
19,4,0,1,0,1,26,4.3548,2,5,0.1,1,0,1,1,,,,,,,
19,4,0,1,0,1,30,3.7336,,,,,,0,,,,,,,,
